id,venue_id,name,neighborhood,category,price_tier,vibe_tags,occasion_tags,stop_roles,time_blocks,mon_blocks,tue_blocks,wed_blocks,thu_blocks,fri_blocks,sat_blocks,sun_blocks,duration_hours,outdoor_seating,reservation_difficulty,reservation_lead_days,reservation_url,maps_url,curation_note,awards,quality_score,curation_boost,curated_by,address,latitude,longitude,active,notes,verified,hours,last_verified,last_updated,happy_hour,dog_friendly,kid_friendly,wheelchair_accessible,signature_order,google_place_id,corner_id,corner_photo_url,guide_count,source_guides,all_neighborhoods,google_rating,google_review_count,google_types,google_phone,enriched,business_status,reservation_platform,resy_venue_id,resy_slug,created_at,updated_at,image_keys
000f932b-4cb6-4f60-8c21-86136e040d26,v0207,Qahwah House W Village,west_village,cafe,1,"[""casual""]","[""first_date"",""friends"",""solo""]","[""opener""]","[""morning"",""afternoon"",""evening"",""late_night""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening"",""late_night""]","[""morning"",""afternoon"",""evening"",""late_night""]","[""morning"",""afternoon"",""evening""]",,,1,,Walk-in Only,https://www.google.com/maps/place/?q=place_id:ChIJZXnagSJZwokRWmfyaDj8KAE,"Yemeni coffee, chai, and pastries. The honeycomb is the move.",,9,0,community,"13 Carmine St, New York, NY 10014, USA",40.730503,-74.00234,true,,,"{""mon"":[[8.0,23.0]],""tue"":[[8.0,23.0]],""wed"":[[8.0,23.0]],""thu"":[[8.0,23.0]],""fri"":[[8.0,25.0]],""sat"":[[8.0,25.0]],""sun"":[[8.0,23.0]]}",2026-05-22,2026-04-20 00:00:00+00,,,,true,,ChIJZXnagSJZwokRWmfyaDj8KAE,104550,https://cdn.corner.inc/place-photo/AcJnMuFJKUNEiwKQqiF9EVzNgT_YbL4wIXs5eycOdP0sk9bwO-HsskA9pbRZguWkXJmY6C4UaMb9Pf2cl-82s4k4Q_RHy0cF41w6sz0nNocFo_BB7NLF-IHzpt7ZAFvvoLZvmyype8IPBi7nMUP2bahvR0JTlEK82S17fFh54RQyKzpLZUdR.jpeg,2,"[""All Time Favorites Best West Village Coffee Shops • West Village"",""Main Character Energy Best Aesthetic Cafes In West Village • West Village""]","[""west_village""]",4.7,897,"[""coffee_shop"",""cafe"",""food_store"",""store"",""food"",""point_of_interest"",""establishment""]",(212) 933-0754,true,OPERATIONAL,,,,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJZXnagSJZwokRWmfyaDj8KAE/0.jpg"",""ChIJZXnagSJZwokRWmfyaDj8KAE/1.jpg"",""ChIJZXnagSJZwokRWmfyaDj8KAE/2.jpg"",""ChIJZXnagSJZwokRWmfyaDj8KAE/3.jpg""]"
00196097-86fc-4a57-8ffe-0c422f6347bd,v1325,senti senti,williamsburg,shopping,2,"[""iykyk"",""casual"",""conversation_friendly"",""market""]","[""friends""]","[""main"",""opener""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]",,,1,,Walk-in Only,https://www.google.com/maps/place/?q=place_id:ChIJR45uj3hZwokR6C6PVhoSBkY,"K-beauty store. Shop for Korean beauty brands, skincare products and more.",,8,0,community,"66 Ainslie St Store B, Brooklyn, NY 11211, USA",40.712506,-73.952135,true,,,"{""mon"":[[11.0,19.0]],""tue"":[[11.0,19.0]],""wed"":[[11.0,19.0]],""thu"":[[11.0,19.0]],""fri"":[[11.0,19.0]],""sat"":[[11.0,19.0]],""sun"":[[11.0,19.0]]}",2026-05-22,2026-04-20 00:00:00+00,,,,true,,ChIJR45uj3hZwokR6C6PVhoSBkY,142943,https://cdn.corner.inc/place-photo/ATplDJass9YjAtD1MOXEIKC5xCe34bW57brKybBUoSNpJObKEb_ex5ugO_t6uxFcAoyotTBUUFDlY6CNQuucroAAn3O_bNE5X24u_p-CgWIkiFgu58SrZUiz5vE6uZ5dGuXunq6oE9BgyPKGYCG6Hiuf4nUPOBhE1tri4mIvOxm72NzmvnTO.jpeg,1,"[""Desk Candy Daydreams Best Boutique Gift Shops In Williamsburg • Williamsburg""]","[""williamsburg""]",4.7,97,"[""store"",""point_of_interest"",""establishment""]",(347) 294-0274,true,OPERATIONAL,,,,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJR45uj3hZwokR6C6PVhoSBkY/0.jpg"",""ChIJR45uj3hZwokR6C6PVhoSBkY/1.jpg"",""ChIJR45uj3hZwokR6C6PVhoSBkY/2.jpg"",""ChIJR45uj3hZwokR6C6PVhoSBkY/3.jpg""]"
0038b0eb-3f25-4e7a-bbcd-2c8ad1e3d853,v0476,MoMA Design Store,little_italy,bookstore,3,"[""bookstore"",""reliable"",""conversation_friendly"",""iykyk"",""walk""]","[""couple"",""dating"",""first_date"",""solo""]","[""main"",""opener""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""morning"",""afternoon"",""evening""]","[""afternoon"",""evening""]",,,1,,Walk-in Only,https://www.google.com/maps/place/?q=place_id:ChIJa7WF1I5ZwokRqt0Ia4lP2_4,"Design objects. Museum of Modern Art shop selling hip, modern-design objects, gifts, housewares and art books.",,8,0,community,"81 Spring St, New York, NY 10012, USA",40.722969,-73.998,true,,,"{""mon"":[[10.0,19.0]],""tue"":[[10.0,19.0]],""wed"":[[10.0,19.0]],""thu"":[[10.0,19.0]],""fri"":[[10.0,19.0]],""sat"":[[10.0,19.0]],""sun"":[[11.0,19.0]]}",2026-05-22,2026-04-20 00:00:00+00,,,,true,,ChIJa7WF1I5ZwokRqt0Ia4lP2_4,93587,https://cdn.corner.inc/place-photo/AcJnMuF30ECLE_n7YuLaEBFEFyRb9MUGGnFVkQqf9FHGUAbYkkacbZ9Hl9QUHVEQ1Qq1sAbstlcap03tmpcjeymwBePalSEkXl-jVHwF4tGc47hX6L1e78kCyzSI3Il4AP6ZrYvcrbg7z16nZUNUvZgzvIZSnG5WM__yMxEdh98e57Apw_2X.jpeg,1,"[""Tiny Treasures Best Boutique Gift Shops In Manhattan • Manhattan""]",[],4.5,2394,"[""gift_shop"",""book_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",(646) 613-1367,true,OPERATIONAL,,,,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJa7WF1I5ZwokRqt0Ia4lP2_4/0.jpg"",""ChIJa7WF1I5ZwokRqt0Ia4lP2_4/1.jpg"",""ChIJa7WF1I5ZwokRqt0Ia4lP2_4/2.jpg"",""ChIJa7WF1I5ZwokRqt0Ia4lP2_4/3.jpg""]"
0046cd16-e37c-44f6-88a5-3b1a24376280,v0249,"Amélie West Village Restaurant, Bistro & Wine Bar",greenwich_village,wine_bar,2,"[""casual"",""conversation_friendly"",""dinner"",""food_forward"",""reliable"",""romantic"",""speakeasy"",""wine_bar""]","[""couple"",""dating"",""first_date"",""solo""]","[""closer"",""opener""]","[""afternoon"",""evening"",""late_night""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening"",""late_night""]","[""afternoon"",""evening"",""late_night""]","[""afternoon"",""evening""]",,,2,0,https://resy.com/cities/new-york-ny/venues/amelie-wine-bar,https://www.google.com/maps/place/?q=place_id:ChIJja0-KpdZwokRuOHSWneCBxE,"A serene French bistro made for dates: small plates, full meals, wines matched to both.",,8,0,community,"22 W 8th St, New York, NY 10011, USA",40.732629,-73.997668,true,,,"{""mon"":[[12.0,23.0]],""tue"":[[12.0,23.0]],""wed"":[[12.0,23.0]],""thu"":[[12.0,23.0]],""fri"":[[12.0,24.0]],""sat"":[[11.0,24.0]],""sun"":[[11.0,23.0]]}",2026-05-22,2026-04-20 00:00:00+00,,,,true,,ChIJja0-KpdZwokRuOHSWneCBxE,3630,https://cdn.corner.inc/place-photo/AZose0nRqRt5HZR5jGXKvEQnHktPlJRHcqELpBTz-sSrE93Fz-uiyMcsSCLKBUO6OjoL1BvtiW-_ize5Eq9m7PFUP3X39NQrDjrzdBDHYKL33JJwKIEZZhmOiUMuZCZnMoJP6q7U0E7zd9oy3h5WJRFl_odZhrX3KeoDEwGBLCsBh7RTcYql.jpeg,1,"[""Uncork Something Special Best Intimate Natural Wine Bars In Manhattan • Manhattan""]",[],4.6,1455,"[""french_restaurant"",""wine_bar"",""bar"",""restaurant"",""point_of_interest"",""food"",""establishment""]",(212) 533-2962,true,OPERATIONAL,resy,42565,amelie-wine-bar,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJja0-KpdZwokRuOHSWneCBxE/0.jpg"",""ChIJja0-KpdZwokRuOHSWneCBxE/1.jpg"",""ChIJja0-KpdZwokRuOHSWneCBxE/2.jpg"",""ChIJja0-KpdZwokRuOHSWneCBxE/3.jpg""]"
00647a85-0eb5-46f1-bb25-09cc6a781b7e,v0903,Ess-a-Bagel,midtown_east,bagel_shop,1,"[""food_forward"",""casual"",""iykyk""]","[""friends"",""solo""]","[""opener""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]","[""morning"",""afternoon""]",1,no,2,,Walk-in Only,https://www.google.com/maps/place/?q=place_id:ChIJZyVQJONYwokREKv0a1J7bFI,"Since 1976. Massive, hand-rolled, the platonic NYC bagel. Line moves fast.",,6,0,adit,"831 3rd Ave, New York, NY 10022, USA",40.756184,-73.970197,true,831 3rd Ave. Several locations.,,"{""mon"":[[6.0,18.0]],""tue"":[[6.0,18.0]],""wed"":[[6.0,18.0]],""thu"":[[6.0,18.0]],""fri"":[[6.0,18.0]],""sat"":[[6.0,17.0]],""sun"":[[6.0,17.0]]}",2026-05-22,,,false,true,true,"Everything bagel, scallion cream cheese",ChIJZyVQJONYwokREKv0a1J7bFI,,,,[],[],4.1,4770,"[""bagel_shop"",""bakery"",""food_store"",""store"",""food"",""point_of_interest"",""establishment""]",(212) 980-1010,true,OPERATIONAL,,,,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJZyVQJONYwokREKv0a1J7bFI/0.jpg"",""ChIJZyVQJONYwokREKv0a1J7bFI/1.jpg"",""ChIJZyVQJONYwokREKv0a1J7bFI/2.jpg"",""ChIJZyVQJONYwokREKv0a1J7bFI/3.jpg""]"
0071843b-cd9a-4ee9-a930-b420be9cb9d3,v0721,Eleven Madison Park,flatiron,fine_dining,4,"[""acclaimed"",""dinner"",""food_forward"",""romantic"",""tasting"",""upscale""]","[""couple"",""dating""]","[""main""]","[""afternoon"",""evening""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]","[""afternoon"",""evening""]","[""evening""]","[""evening""]",1,unknown,4,0,https://resy.com/cities/new-york-ny/venues/eleven-madison-park,https://www.google.com/maps/place/?q=place_id:ChIJEWbXz6ZZwokRLKmKrtPfVFY,Special-occasion territory. Book early and show up hungry.,Michelin 3★★★ · World's 50 Best Restaurants,7,0,reid,"11 Madison Ave, New York, NY 10010, USA",40.741652,-73.987235,true,"Eleven Madison Park, 11, Madison Avenue, Flatiron District, Manhattan Community Board 5, Manhattan, New York County, New York, 10010, United States",,"{""mon"":[[17.0,22.0]],""tue"":[[17.0,22.0]],""wed"":[[17.0,22.0]],""thu"":[[17.0,22.0]],""fri"":[[12.0,22.0]],""sat"":[[12.0,13.0],[17.0,23.0]],""sun"":[[12.0,13.0],[17.0,23.0]]}",2026-05-22,,,,,true,,ChIJEWbXz6ZZwokRLKmKrtPfVFY,,,,[],[],4.4,3270,"[""fine_dining_restaurant"",""restaurant"",""food"",""point_of_interest"",""establishment""]",(212) 889-0905,true,OPERATIONAL,resy,70928,eleven-madison-park,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJEWbXz6ZZwokRLKmKrtPfVFY/0.jpg"",""ChIJEWbXz6ZZwokRLKmKrtPfVFY/1.jpg"",""ChIJEWbXz6ZZwokRLKmKrtPfVFY/2.jpg"",""ChIJEWbXz6ZZwokRLKmKrtPfVFY/3.jpg""]"
007e8f5f-f2f8-4146-be65-332d37626223,v1040,Il Buco,nolita,italian,3,"[""classic"",""dinner"",""food_forward"",""romantic"",""upscale""]","[""couple"",""dating"",""first_date"",""friends""]","[""main""]","[""afternoon"",""evening""]","[""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]","[""afternoon"",""evening""]",1,unknown,2,0,https://resy.com/cities/new-york-ny/venues/il-buco,https://www.google.com/maps/place/?q=place_id:ChIJrbkQPIVZwokRLZABuyqHmoc,"Noho rustic Italian. Copper pots, long tables, pasta and bistecca the way you want them. Still the move after all these years.",James Beard nominee,7,0,reid,"47 Bond St, New York, NY 10012, USA",40.725831,-73.992998,true,"47 Bond St, New York, NY 10012",,"{""mon"":[[17.5,22.0]],""tue"":[[12.0,22.5]],""wed"":[[12.0,22.5]],""thu"":[[12.0,22.5]],""fri"":[[12.0,22.5]],""sat"":[[12.0,22.5]],""sun"":[[12.0,22.0]]}",2026-05-22,,,,,true,,ChIJrbkQPIVZwokRLZABuyqHmoc,,,,[],[],4.4,1145,"[""italian_restaurant"",""mediterranean_restaurant"",""restaurant"",""point_of_interest"",""food"",""establishment""]",(212) 533-1932,true,OPERATIONAL,resy,675,il-buco,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJrbkQPIVZwokRLZABuyqHmoc/0.jpg"",""ChIJrbkQPIVZwokRLZABuyqHmoc/1.jpg"",""ChIJrbkQPIVZwokRLZABuyqHmoc/2.jpg"",""ChIJrbkQPIVZwokRLZABuyqHmoc/3.jpg""]"
0081afb0-538e-47b0-8e6a-73d0ea848ec5,v1031,Atoboy,koreatown,korean,2,"[""dinner"",""food_forward"",""group_friendly"",""tasting""]","[""couple"",""dating"",""friends""]","[""main""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]",1,unknown,4,0,https://resy.com/cities/new-york-ny/venues/atoboy,https://www.google.com/maps/place/?q=place_id:ChIJZ-xpvadZwokRGVsoX2gW38s,"Grill-your-own or not, it's built for groups and shared dishes.",Michelin Bib Gourmand,7,0,reid,"43 E 28th St, New York, NY 10016, USA",40.743657,-73.984486,true,"Atoboy, 43, East 28th Street, Rose Hill, Manhattan Community Board 5, Manhattan, New York County, New York, 10016, United States",,"{""mon"":[[17.0,21.0]],""tue"":[[17.0,21.0]],""wed"":[[17.0,21.0]],""thu"":[[17.0,21.0]],""fri"":[[17.0,22.0]],""sat"":[[17.0,22.0]],""sun"":[[17.0,21.0]]}",2026-05-22,,,,,true,,ChIJZ-xpvadZwokRGVsoX2gW38s,,,,[],[],4.4,1375,"[""korean_restaurant"",""restaurant"",""point_of_interest"",""food"",""establishment""]",(646) 476-7217,true,OPERATIONAL,resy,,atoboy,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJZ-xpvadZwokRGVsoX2gW38s/0.jpg"",""ChIJZ-xpvadZwokRGVsoX2gW38s/1.jpg"",""ChIJZ-xpvadZwokRGVsoX2gW38s/2.jpg"",""ChIJZ-xpvadZwokRGVsoX2gW38s/3.jpg""]"
009185c4-c731-4567-8ee8-a4970c61462d,v0020,Outer Heaven,lower_east_side,bar,3,"[""activity"",""cocktail_forward"",""group_friendly""]","[""dating"",""friends"",""solo""]","[""closer""]","[""evening"",""late_night""]",[],[],"[""evening"",""late_night""]","[""evening"",""late_night""]","[""evening"",""late_night""]","[""evening"",""late_night""]",[],,,2,,https://www.sevenrooms.com/events/outerheavennyc,https://www.google.com/maps/place/?q=place_id:ChIJYbxKJmlZwokRyaASxd_iOyw,"Lower East Side techno with a sound system built by the founder of Cielo and Output. Go for the DJs, stay for the bass.",,6,0,community,"191 Chrystie St, New York, NY 10002, USA",40.722038,-73.992425,true,,,"{""mon"":[],""tue"":[],""wed"":[[20.0,26.0]],""thu"":[[20.0,27.0]],""fri"":[[20.0,28.0]],""sat"":[[20.0,28.0]],""sun"":[]}",2026-05-22,2026-04-20 00:00:00+00,,,,,,ChIJYbxKJmlZwokRyaASxd_iOyw,4205,https://cdn.corner.inc/place-photo/AZose0m_dCcA4DONfT6JI5fDRsdvLTCy_spa2Gl9L69URl4DsnhF1Rji5QaHlC400mELNLRFeAenU84L_OXzjvemUMWRjzQITn185iaeT94QNuWRDHUPavrh_yC7Keh0pJjXDifRj231jmmHrQX7Johzu-OMcEMo5i7PzH5s374LOKWd7uxs.jpeg,7,"[""After Hours In New York Best Les Cocktail Bars • Lower East Side"",""All Time Favorites Best Lower East Side Bars • Lower East Side"",""All Time Favorites Best Manhattan Bars • Manhattan"",""All Time Favorites Best New York City Bars • New York City"",""Neighbourhood Guide • New York City"",""Unce Unce Unce Best Underground Dance Clubs In Lower East Side • Lower East Side"",""Where The Music Takes Over Best Dance Jazz Venues In Manhattan • Manhattan""]","[""lower_east_side"",""new_york_city""]",4,382,"[""night_club"",""cocktail_bar"",""bar"",""sports_club"",""association_or_organization"",""point_of_interest"",""establishment""]",,true,OPERATIONAL,,,,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJYbxKJmlZwokRyaASxd_iOyw/0.jpg"",""ChIJYbxKJmlZwokRyaASxd_iOyw/1.jpg"",""ChIJYbxKJmlZwokRyaASxd_iOyw/2.jpg"",""ChIJYbxKJmlZwokRyaASxd_iOyw/3.jpg""]"
00d65184-6b79-427c-beba-d4ec38a03ac0,v1387,Olmo,bed_stuy,american,2,"[""acclaimed"",""dinner"",""drinks"",""food_forward"",""iykyk"",""lunch""]","[""couple"",""dating"",""first_date"",""friends"",""solo""]","[""main""]","[""evening""]",[],[],"[""evening""]","[""evening""]","[""evening""]","[""evening""]","[""evening""]",1,no,2,0,https://resy.com/cities/new-york-ny/venues/olmo,https://www.google.com/maps/place/?q=place_id:ChIJIYMm9JldwokR3JTojl_rf8A,"Cocktail-forward Mexican spot where the drinks are a real reason to go, not an afterthought.",Michelin Bib Gourmand,8,0,reid,"103 Saratoga Ave, Brooklyn, NY 11233, USA",40.683146,-73.917074,true,Daily,,"{""mon"":[],""tue"":[],""wed"":[[17.0,22.0]],""thu"":[[17.0,22.0]],""fri"":[[17.0,23.0]],""sat"":[[17.0,23.0]],""sun"":[[17.0,22.0]]}",2026-05-22,2026-04-22 00:00:00+00,,,true,,,ChIJIYMm9JldwokR3JTojl_rf8A,,,,[],[],4.7,116,"[""restaurant"",""cocktail_bar"",""mexican_restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",(718) 919-0906,true,OPERATIONAL,resy,92132,olmo,2026-05-01 06:13:32.928906+00,2026-06-13 10:19:02.022007+00,"[""ChIJIYMm9JldwokR3JTojl_rf8A/0.jpg"",""ChIJIYMm9JldwokR3JTojl_rf8A/1.jpg"",""ChIJIYMm9JldwokR3JTojl_rf8A/2.jpg"",""ChIJIYMm9JldwokR3JTojl_rf8A/3.jpg""]"
