venue_id,name,neighborhood,original_address,resolved_place_id,place_name_returned,place_address_returned,google_rating,google_review_count,business_status,name_similarity,distance_m,candidate_count,confidence,other_candidates
v1458,Zoo Sindang,koreatown,"44 W 37th St, NY, NY 10018",ChIJ8ULliqNZwokRgae7D-wJK_M,Zoo Sindang NYC,"44 W 37th St, New York, NY 10018, USA",4.6,42,OPERATIONAL,85,4,1,high,
v1463,Jua,flatiron,"36 E 22nd St, New York, NY 10010, USA",ChIJfTgbIE9ZwokRdRjFE2OMZN8,Jua,"36 E 22nd St, New York, NY 10010, USA",4.7,726,OPERATIONAL,100,3,1,high,
v1465,Take31,koreatown,"15 E 31st St, New York, NY 10016, USA",ChIJ5-ZTbqhZwokROw_GJzQx1dw,Take 31,"15 E 31st St, New York, NY 10016, USA",4.4,1141,OPERATIONAL,92,1,1,high,
v1473,Woorijip,koreatown,"12 W 32nd St, New York, NY 10001, USA",ChIJzfG-8ahZwokR5FLB4KmxBXI,Woorijip,"12 W 32nd St, New York, NY 10001, USA",4.5,3028,OPERATIONAL,100,177,1,high,
v1461,DubuHaus,koreatown,"6 E 32nd St, New York, NY 10016, USA",ChIJLTAznpRZwokR9ILaBL9mjOc,DubuHaus,"6 E 32nd St, New York, NY 10016, USA",4.2,504,OPERATIONAL,100,18,1,high,
v1462,Mari,midtown_west,"679 9th Ave, New York, NY 10036, USA",ChIJk_HUw2dZwokR_zqBwmFDHgo,Mari - Korean Handroll,"679 9th Ave, New York, NY 10036, USA",4.5,486,OPERATIONAL,33,2,1,low: name-sim 33,
v1464,BCD Tofu House,koreatown,"5 W 32nd St, New York, NY 10001, USA",ChIJ3fZz-6hZwokRvjeitvq-5fY,BCD Tofu House,"5 W 32nd St, New York, NY 10001, USA",4.3,4837,OPERATIONAL,100,4,1,high,
v1466,The Kunjip,koreatown,"32 W 32nd St, New York, NY 10001, USA",ChIJdQxV-KhZwokRsyAt1XYvtiQ,The Kunjip,"32 W 32nd St, New York, NY 10001, USA",4,3738,OPERATIONAL,100,3,1,high,
v1468,Baekjeong,koreatown,"1 E 32nd St, New York, NY 10016, USA",ChIJGbyHW6hZwokRIGp7M62XV3E,Baekjeong NYC,"49 W 32nd St, New York, NY 10001, USA",4.4,2476,CLOSED_TEMPORARILY,82,270,1,"medium: status=CLOSED_TEMPORARILY, 270m away",
v1469,Let's Meat BBQ,koreatown,"307 5th Ave, New York, NY 10016, USA",ChIJJ4y_XahZwokRgO8olYwA7Cg,Let's Meat BBQ,"307 5th Ave, New York, NY 10016, USA",4.3,2852,OPERATIONAL,100,18,1,high,
v1470,Moono,koreatown,"29 E 32nd St, New York, NY 10016, USA",ChIJaWBLA_pZwokRX2BYIIr6rwE,Moono,"29 E 32nd St, New York, NY 10016, USA",4.4,503,OPERATIONAL,100,0,1,high,
v1471,Pocha 32,koreatown,"15 W 32nd St 2nd Fl, New York, NY 10001, USA",ChIJJdmP46hZwokRqffbVAebL6s,Pocha 32,"15 W 32nd St 2nd floor, New York, NY 10001, USA",3.9,1520,OPERATIONAL,100,1,1,high,
v1472,Oiji Mi,koreatown,"17 W 19th St, New York, NY 10011, USA",ChIJee0VTWZZwokRDYFpAoConlw,Oiji Mi,"17 W 19th St, New York, NY 10011, USA",4.6,1256,OPERATIONAL,100,1,1,high,
v1474,Food Gallery 32,koreatown,"11 W 32nd St, New York, NY 10001, USA",ChIJa2YT-ahZwokR-FABvLXcKi0,Food Gallery 32,"11 W 32nd St, New York, NY 10001, USA",4.4,3123,OPERATIONAL,100,10,1,high,
v1477,Anytime Kitchen,koreatown,"23 W 32nd St Fl 3, New York, NY 10001, USA",ChIJdzf8kEZZwokRXtSOY0-Kwaw,Anytime Kitchen,"23 W 32nd St 3rd floor, New York, NY 10001, USA",4.6,2401,OPERATIONAL,100,11,1,high,
v1479,Seoul Salon NYC,koreatown,"28 W 33rd St, New York, NY 10001, USA",ChIJqdwhvD5ZwokRMjq-dG4AVm4,SEOUL SALON NYC,"28 W 33rd St, New York, NY 10001, USA",4.5,579,OPERATIONAL,100,3,1,high,
v1480,Sorimmara,koreatown,"2 W 32nd St 2nd Fl, New York, NY 10001, USA",ChIJC-GfTABZwokRT4j4uF-16nE,SORIMMARA,"2 W 32nd St 2nd Floor, New York, NY 10001, USA",4.6,797,OPERATIONAL,100,20,1,high,
v1481,Oncheon NYC,koreatown,"312 5th Ave, New York, NY 10001, USA",ChIJ1ZxIs4pZwokRAgQkzckhDqE,Oncheon NYC,"312 5th Ave, New York, NY 10001, USA",4.7,486,OPERATIONAL,100,1,1,high,
v1459,Dookki,koreatown,"11 W 32nd St 2nd Fl (Food Gallery 32), New York, NY 10001, USA",ChIJa2YT-ahZwokR-FABvLXcKi0,Food Gallery 32,"11 W 32nd St, New York, NY 10001, USA",4.4,3123,OPERATIONAL,19,10,2,low: name-sim 19,DOOKKI Topokki
v1460,Sweet Graffiti,koreatown,"51 W 32nd St, New York, NY 10001, USA",ChIJwYecLgBZwokRW4_GTV3fOOg,Sweet Graffiti,"51 W 32nd St, New York, NY 10001, USA",4.4,31,OPERATIONAL,100,1,1,high,
