venue_id,name,google_place_id,google_price_level,mapped_tier
v0502,Pace Gallery,ChIJNY00lbdZwokR83atenEnYFw,,
v0483,Mxdin,ChIJuclyZgBZwokRMdPYUE9DW1M,,
v0486,Nami Nori West Village,ChIJcfbyqFNZwokRUoBP92II4c0,,
v0303,Chelsea Art Gallery District,ChIJQyaxd0pZwokRSDcZcMo4hbw,,
v0345,El Rey Mezcal Bar,ChIJA12lvtpbwokRx1g73PPypIM,,
v0489,NEO COFFEE BAR PATH,ChIJcxNW_8A1K4gRfcFPPm8UXxc,,
v0361,Flute Bar,ChIJHTeso-EFdkgRCnWacXe_BAo,,
v0379,Hale Coffee Company,ChIJe54Pel7L1IkRFRcxrg8jWY8,,
v1251,Eyval,ChIJR9OEk_BdwokR9Qxlpi3I1ro,,
v0492,niconeco zakkaya,ChIJpdaS-7pZwokRwu9BkLCdK_U,,
v0503,Patisserie Vanessa,ChIJb2q4QqNZwokROAYHW3Y-PPk,,
v0513,Pigeon Espresso Bar,ChIJ--JCXQDL1IkRE2l1BRaaH54,,
v0592,The Brick Room (一期一会),ChIJI-HScCTL1IkRz6C8LwOT7wc,,
v0601,The Little Scarlet Door,ChIJF6Udn24FdkgRU6FtCxbuFiY,,
v0604,The New York Earth Room,ChIJNVpiZY5ZwokRvQ-vFAg3tok,,
v0616,Three Dots Coffee Lab,ChIJ9wCaK9c1K4gRN5Oy4YcFG6A,,
v0618,Times Square,ChIJmQJIxlVYwokRLgeuocVOGVU,,
v1165,KIJITORA,ChIJ02sY7ydZwokRQNtTpmBywcc,,
v1103,MISIPASTA,ChIJ6yQJPWJZwokRRNJS9LYAdwc,,
v1107,Rite Of Passage,ChIJPfYLx19ZwokRQNG2gsSS04M,,
v1139,Bar Rêve,ChIJ2YpvPEdbwokRZFF2gfqDNT0,,
v1167,L Train Vintage,ChIJxaTLLQVcwokRHST0YGZThqs,,
v1082,Cafe MSMN,ChIJt5dIF-lZwokRZzogeAzB3EU,,
v1218,ByClio Bakery,ChIJw52j4W9ZwokRUxsssuZyD_c,,
v1340,The Little Bookshop,ChIJgctCgGhbwokRYR1ln2hAnbs,,
v1085,PPL,ChIJEa4-I9BbwokRhCUh5oXkWY0,,
v1088,Mr. Melo,ChIJLfNNGJNZwokR5H_5qlF22zk,,
