sheet_row,venue_id,name,hit_name,hit_id,hit_slug,distance_m,name_similarity,status
3,v0001,Rubirosa,Rubirosa,466,rubirosa,8,100.0,matched
4,v0002,chloe.,,,,,,no_hits
5,v0003,Bobo,Bobo NYC,53199,bobo-nyc,15,100.0,matched
6,v0004,Georgie’s Cafe & Bar,,,,,,rejected_geo
7,v0005,Le Botaniste,,,,,,rejected_geo
8,v0006,The Butcher's Daughter,,,,,,rejected_geo
9,v0007,abcV,abcV by Jean-Georges,5256,abcv,4,100.0,matched
10,v0008,Dante NYC,Dante,1290,dante,1,100.0,matched
11,v0009,Studio 151,Studio 151,53695,studio-151,8,100.0,matched
12,v0010,The Django,The Django,58129,the-django,4,100.0,matched
13,v0011,Tigre,Tigre,76553,tigre,26,100.0,matched
14,v0012,Tomi Jazz,,,,,,no_hits
15,v0013,12 Matcha,,,,,,no_hits
16,v0014,Bodhi Kosher Vegetarian Restaurant,,,,,,rejected_geo
17,v0015,Book Club Bar,,,,,,rejected_geo
18,v0016,Bub's Bakery,,,,,,rejected_geo
19,v0017,Dudleys,,,,,,no_hits
20,v0018,La Lanterna di Vittorio,La Lanterna di Vittorio,27758,la-lanterna-di-vittorio,5,100.0,matched
21,v0019,Mezzrow,,,,,,no_hits
22,v0020,Outer Heaven,,,,,,no_hits
23,v0021,Silence Please,,,,,,rejected_geo
24,v0022,Soda Club,Soda Club,47868,soda-club,4,100.0,matched
25,v0023,Spicy Moon West Village,Spicy Moon West Village,31196,spicy-moon-west-village,6,100.0,matched
26,v0024,Superiority Burger,Superiority Burger,83283,superiority-burger,17,100.0,matched
27,v0025,The Ripple Room,,,,,,rejected_geo
28,v0026,Anixi Mediterranean Vegan Restaurant,Anixi,67889,anixi,7,100.0,matched
29,v0027,Café Lyria,,,,,,rejected_geo
30,v0028,Café Maud,Café Maud - East Village,83050,cafe-maud,36,100.0,matched
31,v0029,Conwell Coffee & Cocktail Hall,Conwell Hall,93480,conwell-hall,20,100.0,matched
32,v0030,Davelle,,,,,,no_hits
33,v0031,Dialogue Coffee & Flowers,,,,,,rejected_similarity
34,v0032,kalei nyc,,,,,,rejected_geo
35,v0033,Obvio Cocktail Bar Nomad,,,,,,rejected_geo
36,v0034,Planta Queen,,,,,,rejected_geo
37,v0035,Please Don't Tell,Please Don't Tell (PDT),10500,pdt,2,100.0,matched
38,v0036,St Jardim,St. Jardim,59132,st-jardim,7,94.73684210526315,matched
39,v0037,The Little Shop,The Little Shop,36432,the-little-shop,7,100.0,matched
40,v0038,Bar Pisellino,,,,,,rejected_geo
41,v0039,Boris & Horton,,,,,,no_hits
42,v0040,Bungee Space,,,,,,rejected_geo
43,v0041,Employees Only,Employees Only,35203,employees-only-nyc,4,100.0,matched
44,v0042,Good Thanks Cafe,,,,,,rejected_similarity
45,v0043,Hangawi,Hangawi,1440,hangawi,0,100.0,matched
46,v0044,Jajaja Mexicana,,,,,,rejected_geo
47,v0045,Jerrell's BETR BRGR,,,,,,no_hits
48,v0046,L'Artusi,L'Artusi,25973,lartusi-ny,9,100.0,matched
49,v0047,Ladybird,Ladybird,618,ladybird,7,100.0,matched
50,v0048,Modern Bread and Bagel,,,,,,no_hits
51,v0049,PARK at KIMS,,,,,,no_hits
52,v0050,San Marzano,,,,,,rejected_geo
53,v0051,Sip&Guzzle,,,,,,no_hits
54,v0052,Stone Street Café,,,,,,rejected_geo
55,v0053,Win Son Bakery,,,,,,rejected_geo
56,v0054,230 Fifth Rooftop Bar,,,,,,rejected_geo
57,v0055,ANDO patisserie,,,,,,no_hits
58,v0056,Bar Valentina,Bar Valentina,59853,barvalentina,22,100.0,matched
59,v0057,Bubby's,Bubby's,93082,bubbys-tribeca,47,100.0,matched
60,v0058,By the Way Bakery,,,,,,no_hits
61,v0059,Café-Flor / Bar 21,,,,,,rejected_geo
62,v0060,Cantina Rooftop,,,,,,rejected_geo
63,v0061,Coletta Italian Vegan Restaurant,Coletta,58982,coletta,20,100.0,matched
64,v0062,Dirt Candy,Dirt Candy,29371,dirt-candy,21,100.0,matched
65,v0063,DUCKSOUP,,,,,,no_hits
66,v0064,Funny Bar,,,,,,rejected_similarity
67,v0065,Hungry Llama,,,,,,no_hits
68,v0066,Jajaja Mexicana,,,,,,rejected_geo
69,v0067,Jean's,Jean's,81473,jeans,28,100.0,matched
70,v0068,Kesté Pizza e Vino,Kesté Pizza & Vino,59213,keste-pizza-and-vino,75,94.44444444444444,matched
71,v0069,Le Dive,Le Dive,60381,le-dive,26,100.0,matched
72,v0070,Mandrake Café,,,,,,rejected_geo
73,v0071,Mr. Purple,,,,,,no_hits
74,v0072,Orchard Grocer,,,,,,no_hits
75,v0073,Paquita,Paquita,83502,paquita,24,100.0,matched
76,v0074,Parcelle Chinatown,,,,,,rejected_geo
77,v0075,Pastis,Pastis,6484,pastis,6,100.0,matched
78,v0076,Pause Cafe,,,,,,rejected_geo
79,v0077,Prince Street Pizza,,,,,,rejected_geo
80,v0078,Skin Contact,,,,,,no_hits
81,v0079,Spicy Moon East Village,Spicy Moon Vegan East Village,49084,spicy-moon-vegan-east-village,7,100.0,matched
82,v0080,Tera,Tera NYC,94201,tera-nyc,34,100.0,matched
83,v0081,The Back Room,,,,,,rejected_geo
84,v0082,The Dead Rabbit,The Dead Rabbit New York City,38660,the-dead-rabbit,1,100.0,matched
85,v0083,The Devonshire,,,,,,no_hits
86,v0084,Veselka,Veselka (East Village),92399,veselka-east-village,11,100.0,matched
87,v0085,Wild,,,,,,rejected_geo
88,v0086,Zinc Bar,,,,,,rejected_similarity
89,v0087,Apotheke Chinatown,,,,,,rejected_similarity
90,v0088,Bar Bianchi,Bar Bianchi,89411,bar-bianchi,21,100.0,matched
91,v0089,Bar Crispin,,,,,,no_hits
92,v0090,Binx,Binx,89511,binx,27,100.0,matched
93,v0091,Café Colmado,,,,,,rejected_geo
94,v0092,"Complete Cafe, LLC",,,,,,rejected_geo
95,v0093,Delice & Sarrasin,Delice & Sarrasin,88073,delice-and-sarrasin,23,100.0,matched
96,v0094,Divya's Kitchen,Divya's Kitchen,73726,divyas-kitchen,12,100.0,matched
97,v0095,Do Not Feed Alligators,,,,,,rejected_geo
98,v0096,Double Zero,Double Zero,8037,double-zero,3,100.0,matched
99,v0097,El Camino,,,,,,rejected_geo
100,v0098,La Cabra,,,,,,rejected_geo
101,v0099,le gaz,,,,,,rejected_similarity
102,v0100,LOS TACOS No.1,,,,,,rejected_geo
103,v0101,Manjul Coffee & Clothing,,,,,,no_hits
104,v0102,Monarch Rooftop,,,,,,rejected_geo
105,v0103,MONO+MONO,,,,,,rejected_geo
106,v0104,Papa d’Amour,,,,,,no_hits
107,v0105,Posh Pop Bakeshop,,,,,,no_hits
108,v0106,"RHYTHM ZERO, WEST VILLAGE",,,,,,rejected_geo
109,v0107,Risotteria Melotti NYC,,,,,,rejected_similarity
110,v0108,Ruffian,Ruffian,27786,ruffian,15,100.0,matched
111,v0109,Senza Gluten,Senza Gluten,81951,senza-gluten,44,100.0,matched
112,v0110,Senza Gluten by Jemiko - 100% Gluten Free Cafe & Bakery,,,,,,rejected_geo
113,v0111,Seven Dials Market,,,,,,no_hits
114,v0112,Shy Shy,Shy Shy,85942,shy-shy,21,100.0,matched
115,v0113,Sonnyboy,Sonnyboy,4530,sonnyboy,8,100.0,matched
116,v0114,Stafili Wine Cafe,Stafili Wine Cafe,54637,stafili-wine-cafe,2,100.0,matched
117,v0115,Sullaluna,Sullaluna,84150,sullaluna,2,100.0,matched
118,v0116,The Commerce Inn,The Commerce Inn,53342,the-commerce-inn,95,100.0,matched
119,v0117,THE ELK,,,,,,no_hits
120,v0118,The Odeon,,,,,,no_hits
121,v0119,Ye's Apothecary 夜莺,Ye's Apothecary 夜莺,60980,yes-apothecary,23,100.0,matched
122,v0120,🧳 Paper Coffee,,,,,,rejected_geo
123,v0121,313 VINTAGE,,,,,,rejected_geo
124,v0122,Ahimsa,Ahimsa,94760,ahimsa,24,100.0,matched
125,v0123,Alabaster Bookshop,,,,,,no_hits
126,v0124,Arcane Estate Coffee,,,,,,rejected_geo
127,v0125,Ariston Coffee Bar,,,,,,rejected_geo
128,v0126,Art Bar,,,,,,rejected_geo
129,v0127,Arthur's Tavern,Arthur's Tavern,65181,arthurs-tavern,21,100.0,matched
130,v0128,Augusta Coffee Bar,,,,,,rejected_geo
131,v0129,Azul on the Rooftop,Azul on the Rooftop,96401,azul-on-the-rooftop,12,100.0,matched
132,v0130,BabySips,,,,,,no_hits
133,v0131,Banter NYC,,,,,,rejected_geo
134,v0132,Banter NYC - West Village,,,,,,rejected_geo
135,v0133,Bar Kabawa,,,,,,rejected_geo
136,v0134,Bar Room at the Beekman,The Bar Room at The Beekman,40703,the-bar-room-at-the-beekman,7,95.65217391304348,matched
137,v0135,Bedford Studio,,,,,,no_hits
138,v0136,Below Stone Nest,,,,,,no_hits
139,v0137,Berenjak Soho,,,,,,no_hits
140,v0138,Birds,,,,,,rejected_similarity
141,v0139,Bleecker Street Pizza,,,,,,rejected_similarity
142,v0140,Blind Barber,,,,,,rejected_geo
143,v0141,"BOTTINO, modern italian dining",,,,,,rejected_geo
144,v0142,Bubala Soho,,,,,,no_hits
145,v0143,Buddy's,Buddys,93834,buddys-ny,22,92.3076923076923,matched
146,v0144,Butterdose,,,,,,no_hits
147,v0145,Bánh by Lauren,,,,,,no_hits
148,v0146,Café Habibti,,,,,,rejected_geo
149,v0147,canteenM,,,,,,no_hits
150,v0148,Carmine's - Upper West Side,,,,,,rejected_geo
151,v0149,Cellar Dog,,,,,,rejected_locality
152,v0150,Cha-An,,,,,,no_hits
153,v0151,Clinton St. Baking Company,Clinton St. Baking Co,2078,clinton-st-baking-co,8,92.3076923076923,matched
154,v0152,colbo,,,,,,no_hits
155,v0153,Coming Soon,,,,,,no_hits
156,v0154,COTE Flatiron,COTE Flatiron,72271,cote-nyc,14,100.0,matched
157,v0155,Crown Shy,Crown Shy,10726,crown-shy,34,100.0,matched
158,v0156,Daintree,Daintree,59032,daintree,15,100.0,matched
159,v0157,Derby Cup Coffee,,,,,,no_hits
160,v0158,Do Not Disturb,Do Not Disturb,62913,do-not-disturb,21,100.0,matched
161,v0159,Duo Cafe,,,,,,rejected_geo
162,v0160,Early Terrible New York City,,,,,,rejected_geo
163,v0161,East Village Books,,,,,,rejected_geo
164,v0162,Edna + Vita,,,,,,no_hits
165,v0163,Electric Lemon,Electric Lemon,6769,electric-lemon,40,100.0,matched
166,v0164,Elsie Rooftop & Penthouse,Elsie Rooftop + Penthouse,89724,elsie-penthouse,15,92.0,matched
167,v0165,Elvis,Elvis,84584,elvis,14,100.0,matched
168,v0166,ENLY,,,,,,rejected_geo
169,v0167,ESSX NYC,,,,,,rejected_geo
170,v0168,Fa San,,,,,,rejected_geo
171,v0169,FIKA Cafe,,,,,,no_hits
172,v0170,FILM CAFE,,,,,,no_hits
173,v0171,Friedman's,,,,,,no_hits
174,v0172,Gem Home,,,,,,no_hits
175,v0173,Grasso,,,,,,no_hits
176,v0174,Gus Tacos,,,,,,no_hits
177,v0175,Happy Medium,,,,,,no_hits
178,v0176,Interlude Coffee & Tea,,,,,,rejected_geo
179,v0177,Jac's on Bond,Jac's on Bond,69010,jacs-on-bond,6,100.0,matched
180,v0178,Jeffrey's Grocery,,,,,,no_hits
181,v0179,JIMMY,,,,,,rejected_geo
182,v0180,KIJITORA E14th,,,,,,no_hits
183,v0181,Kiln,,,,,,no_hits
184,v0182,Kopitiam,,,,,,no_hits
185,v0183,La Bomboniera,,,,,,rejected_geo
186,v0184,Locanda Verde Hudson Yards,Locanda Verde Hudson Yards,83891,locanda-verde-hudson-yards,14,100.0,matched
187,v0185,LOS TACOS No.1,,,,,,no_hits
188,v0186,L’industrie Pizzeria West Village,,,,,,rejected_geo
189,v0187,MADE RITE COFFEE,,,,,,no_hits
190,v0188,Mast Books,,,,,,rejected_similarity
191,v0189,Moonflower,Moonflower,64117,moonflower,9,100.0,matched
192,v0190,Mountain Beak Street,,,,,,no_hits
193,v0191,Nish Nush,,,,,,no_hits
194,v0192,Nubeluz,,,,,,no_hits
195,v0193,OASES,,,,,,no_hits
196,v0194,Old Mates Pub,,,,,,rejected_geo
197,v0195,Oslo Coffee Roasters (West Village),,,,,,rejected_geo
198,v0196,outro nyc,,,,,,rejected_geo
199,v0197,"P&T Knitwear Bookstore, Coffee, & Podcast Studio",,,,,,rejected_geo
200,v0198,P.S. Kitchen,PS Kitchen,5856,ps-kitchen,5,90.9090909090909,matched
201,v0199,Partners Coffee West Village,,,,,,rejected_geo
202,v0200,People’s,,,,,,no_hits
203,v0201,Pera Cafe,,,,,,no_hits
204,v0202,Pimbeche Vintage,,,,,,rejected_geo
205,v0203,Pinky Swear,Pinky Swear,86648,pinky-swear,25,100.0,matched
206,v0204,Project Seoul,,,,,,no_hits
207,v0205,PUBLIC Hotel,,,,,,no_hits
208,v0206,Punjabi Deli,,,,,,no_hits
209,v0207,Qahwah House W Village,,,,,,rejected_geo
210,v0208,Ribalta,,,,,,no_hits
211,v0209,Rita's,,,,,,no_hits
212,v0210,Ronnie Scott's,,,,,,no_hits
213,v0211,ROOME,,,,,,no_hits
214,v0212,Scarr's Pizza,,,,,,no_hits
215,v0213,Seed Library NYC,,,,,,rejected_geo
216,v0214,Seven Grams Caffe,,,,,,rejected_geo
217,v0215,Sojourn Social,,,,,,no_hits
218,v0216,SOMA Soho,,,,,,no_hits
219,v0217,Spes,,,,,,no_hits
220,v0218,Springbone Kitchen,,,,,,no_hits
221,v0219,St. George Coffee,,,,,,rejected_geo
222,v0220,Subject: A Cocktail Bar,Subject: A Cocktail Bar,1657,subject,16,100.0,matched
223,v0221,Sud Forno,,,,,,no_hits
224,v0222,Teabowl,,,,,,no_hits
225,v0223,Terroni,,,,,,no_hits
226,v0224,"The DL, Best Rooftop Lounge NYC",,,,,,rejected_similarity
227,v0225,The Hideout Chai Bar,,,,,,rejected_geo
228,v0226,The Ten Bells,The Ten Bells,5748,the-ten-bells,10,100.0,matched
229,v0227,TIME AGAIN,,,,,,no_hits
230,v0228,Upside Pizza,,,,,,rejected_geo
231,v0229,Urban Backyard,,,,,,no_hits
232,v0230,Verlaine,,,,,,no_hits
