venue_id,name,google_place_id,photos_found,photos_uploaded,status,error
v0105,Posh Pop Bakeshop,ChIJOwDQ8ENZwokRDi3mvX-MKTM,10,4,success,
v0549,Seven Lives Tacos y Mariscos,ChIJIx7XScI0K4gRYemlb9GphUI,10,4,success,
v0205,PUBLIC Hotel,ChIJYY-OM4RZwokRvA7ECx3HRZw,10,4,success,
v0222,Teabowl,ChIJxVJZfgBZwokRPJhGH4SnywU,10,4,success,
v1251,Eyval,ChIJR9OEk_BdwokR9Qxlpi3I1ro,10,4,success,
v0227,TIME AGAIN,ChIJFbvsXD1bwokRxOjjQXFijcQ,10,4,success,
v0867,Poster House,ChIJ6UitwqRZwokR2UuUi8NrdAg,10,4,success,
v0683,Bridges,ChIJ5Q8Bl1NbwokRjuIXKz8OfRQ,10,4,success,
v0868,Leslie-Lohman Museum of Art,ChIJ1bAvpItZwokRaOvPH7FibmA,10,4,success,
v1411,Hungry Thirsty,ChIJMRzjDuVbwokRXPeo4rKGGjQ,10,4,success,
v0884,Mercury Lounge,ChIJQxzbx4NZwokRfWXvfisf3Eo,10,4,success,
v0684,Cervo's,ChIJp_UkrilawokRtDAS5sls7jo,10,4,success,
v1001,Ramro,ChIJY8R5brVfwokRsdTEqPSxuxY,10,4,success,
v1012,New World Mall Food Court,ChIJGSaOCgBhwokRKkUEm98zzO4,10,4,success,
v0313,Common Things,ChIJp5j2-tZZwokRJNSvi-5NKtQ,3,3,success,
v0322,Dante Aperitivo Bar,ChIJ52cTNABZwokRBZD-02jLllw,10,4,success,
v0890,Lincoln Center,ChIJN6W-X_VYwokRTqwcBnTw1Uk,10,4,success,
v0301,Chad Senzel,ChIJ4WJF2iBZwokR7K8aNX4BukI,8,4,success,
v0302,Chapel Bar,ChIJmxygiqZZwokRURJ_xHxXny4,10,4,success,
v0772,Aquihito,ChIJsX8SnElZwokRMfF55JXM77U,10,4,success,
v1444,Brooklyn Steel,ChIJ__8Pf01ZwokRyFh1eqIcjWk,10,4,success,
v0773,Nōksu,ChIJSfeOCf5ZwokRWuoMT5Kc6KY,10,4,success,
v1384,Bunny,ChIJmQ_VbpBbwokRZfBhNKWigEc,10,4,success,
v0587,Teruko,ChIJK3dJNuRZwokRHRVRpjwGZ1U,10,4,success,
v0402,Jacked Up Coffee,ChIJl5hZEAE1K4gRjLaTnJd6SdA,3,3,success,
v0685,Borgo,ChIJ_-Z-CM5ZwokRg9_1Gc4DrwA,10,4,success,
