venue_id,name,sheet_row,lookup_status,material_changes,old_google_place_id,old_last_verified,old_google_rating,old_google_review_count,old_google_types,old_google_phone,old_enriched,old_business_status,new_google_place_id,new_last_verified,new_google_rating,new_google_review_count,new_google_types,new_google_phone,new_enriched,new_business_status
v0001,Rubirosa,3,ok,google_review_count|google_types,ChIJs8MdNo9ZwokRTPUHiArLC-o,2026-04-20,4.6,6889,"pizza_restaurant,meal_takeaway,restaurant,food_store,food,store",(212) 965-0500,yes,OPERATIONAL,ChIJs8MdNo9ZwokRTPUHiArLC-o,2026-05-22,4.6,7096,"pizza_restaurant,meal_takeaway,restaurant,food_store,store,food,point_of_interest,establishment",(212) 965-0500,yes,OPERATIONAL
v0002,Chloe's,4,ok,google_review_count|google_types,ChIJvQ0mfQBZwokRupq3-2DU7Hg,2026-04-20,4.7,585,"vegan_restaurant,salad_shop,vegetarian_restaurant,cake_shop,dessert_shop,confectionery",(646) 703-0920,yes,OPERATIONAL,ChIJvQ0mfQBZwokRupq3-2DU7Hg,2026-05-22,4.7,597,"vegan_restaurant,salad_shop,cake_shop,dessert_shop,confectionery,bakery,vegetarian_restaurant,food_store,store,manufacturer,wholesaler,restaurant,food,point_of_interest,establishment",(646) 703-0920,yes,OPERATIONAL
v0003,Bobo,5,ok,google_review_count|google_types,ChIJn6dnQpRZwokRqXNiYx0ZzLw,2026-04-20,4.5,954,"french_restaurant,brunch_restaurant,wine_bar,cocktail_bar,bar,restaurant",(212) 488-2626,yes,OPERATIONAL,ChIJn6dnQpRZwokRqXNiYx0ZzLw,2026-05-22,4.5,965,"french_restaurant,brunch_restaurant,cocktail_bar,wine_bar,bar,restaurant,point_of_interest,food,establishment",(212) 488-2626,yes,OPERATIONAL
v0004,Georgie’s Cafe & Bar,6,ok,google_review_count,ChIJG8Mc_oFZwokRYk2OAgdC2Ho,2026-04-20,4.4,126,"cafe,food,point_of_interest,establishment",(347) 705-8247,yes,OPERATIONAL,ChIJG8Mc_oFZwokRYk2OAgdC2Ho,2026-05-22,4.4,131,"cafe,food,point_of_interest,establishment",(347) 705-8247,yes,OPERATIONAL
v0005,Le Botaniste,7,ok,google_review_count|google_types,ChIJu-aoeIlZwokRmbjuHy4Jt98,2026-04-20,4.7,998,"vegan_restaurant,wine_bar,vegetarian_restaurant,bar,restaurant,food",(646) 870-7770,yes,OPERATIONAL,ChIJu-aoeIlZwokRmbjuHy4Jt98,2026-05-22,4.7,1014,"vegan_restaurant,wine_bar,vegetarian_restaurant,bar,restaurant,food,point_of_interest,establishment",(646) 870-7770,yes,OPERATIONAL
v0006,The Butcher's Daughter,8,ok,google_review_count|google_types,ChIJiYsEnohZwokR8oZK_TgmSjY,2026-04-20,4,2157,"vegetarian_restaurant,juice_shop,brunch_restaurant,coffee_shop,vegan_restaurant,breakfast_restaurant",(212) 219-3434,yes,OPERATIONAL,ChIJiYsEnohZwokR8oZK_TgmSjY,2026-05-22,4,2172,"vegetarian_restaurant,vegan_restaurant,brunch_restaurant,breakfast_restaurant,juice_shop,coffee_shop,cafe,restaurant,food_store,store,food,point_of_interest,establishment",(212) 219-3434,yes,OPERATIONAL
v0007,abcV,9,ok,google_review_count|google_types,ChIJxXrbJaJZwokRAAEnPk3AJh4,2026-04-20,4.4,1737,"vegetarian_restaurant,brunch_restaurant,bar,restaurant,food,point_of_interest",(212) 475-5829,yes,OPERATIONAL,ChIJxXrbJaJZwokRAAEnPk3AJh4,2026-05-22,4.4,1749,"vegetarian_restaurant,brunch_restaurant,bar,restaurant,point_of_interest,food,establishment",(212) 475-5829,yes,OPERATIONAL
v0008,Dante NYC,10,ok,google_review_count|google_types,ChIJUw68EZJZwokRJ15RD_T4OTw,2026-04-20,4.5,2722,"italian_restaurant,cafe,bar,restaurant,food,point_of_interest",(212) 982-5275,yes,OPERATIONAL,ChIJUw68EZJZwokRJ15RD_T4OTw,2026-05-22,4.5,2756,"italian_restaurant,cafe,bar,restaurant,food,point_of_interest,establishment",(212) 982-5275,yes,OPERATIONAL
v0009,Studio 151,11,ok,google_review_count|google_types,ChIJ5UXURXdZwokR8bPSfFgCHjg,2026-04-20,4.1,268,"bar,sushi_restaurant,cocktail_bar,japanese_restaurant,restaurant,food",,yes,OPERATIONAL,ChIJ5UXURXdZwokR8bPSfFgCHjg,2026-05-22,4.1,274,"bar,sushi_restaurant,cocktail_bar,japanese_restaurant,restaurant,food,point_of_interest,establishment",,yes,OPERATIONAL
v0010,The Django,12,ok,google_review_count|google_types,ChIJ6wjtl4pZwokRC66KkQa9x9U,2026-04-20,4.1,1201,"live_music_venue,night_club,event_venue,cocktail_bar,bar,restaurant",(212) 519-6649,yes,OPERATIONAL,ChIJ6wjtl4pZwokRC66KkQa9x9U,2026-05-22,4.1,1219,"cocktail_bar,night_club,live_music_venue,event_venue,bar,restaurant,food,point_of_interest,establishment",(212) 519-6649,yes,OPERATIONAL
v0011,Tigre,13,ok,google_review_count|google_types,ChIJG4KsHWhZwokRy8XeIPr63_8,2026-04-20,4.4,330,"cocktail_bar,wine_bar,lounge_bar,night_club,bar,food",(646) 951-2780,yes,OPERATIONAL,ChIJG4KsHWhZwokRy8XeIPr63_8,2026-05-22,4.4,336,"cocktail_bar,lounge_bar,night_club,wine_bar,bar,point_of_interest,food,establishment",(646) 951-2780,yes,OPERATIONAL
v0012,Tomi Jazz,14,ok,google_review_count|google_types,ChIJVcSnm-NYwokRnGivcMPc81Q,2026-04-20,4.5,2159,"japanese_izakaya_restaurant,bar_and_grill,night_club,live_music_venue,bar,event_venue",,yes,OPERATIONAL,ChIJVcSnm-NYwokRnGivcMPc81Q,2026-05-22,4.5,2186,"bar_and_grill,live_music_venue,japanese_izakaya_restaurant,bar,japanese_restaurant,event_venue,night_club,restaurant,food,point_of_interest,establishment",,yes,OPERATIONAL
v0013,12 Matcha,15,ok,google_review_count,ChIJYQM4uYJZwokRtU7IAZdSHZ0,2026-04-20,4.4,608,"cafe,food,point_of_interest,establishment",,yes,OPERATIONAL,ChIJYQM4uYJZwokRtU7IAZdSHZ0,2026-05-22,4.4,647,"cafe,food,point_of_interest,establishment",,yes,OPERATIONAL
v0014,Bodhi Kosher Vegetarian Restaurant,16,ok,google_review_count|google_types,ChIJ9zpnPidawokRdhxyso6KXKw,2026-04-20,4.6,2235,"vegetarian_restaurant,vegan_restaurant,chinese_restaurant,restaurant,food,point_of_interest",(212) 233-2921,yes,OPERATIONAL,ChIJ9zpnPidawokRdhxyso6KXKw,2026-05-22,4.6,2254,"vegetarian_restaurant,vegan_restaurant,chinese_restaurant,restaurant,point_of_interest,food,establishment",(212) 233-2921,yes,OPERATIONAL
v0015,Book Club Bar,17,ok,google_review_count|google_types|business_status,ChIJwxHj5iBZwokR_pY9e5OhHNs,2026-04-20,4.6,1037,"book_store,coffee_shop,cafe,food_store,bar,store",(646) 678-4160,yes,OPERATIONAL,ChIJwxHj5iBZwokR_pY9e5OhHNs,2026-05-22,4.6,1049,"book_store,coffee_shop,cafe,bar,food_store,store,point_of_interest,food,establishment",(646) 678-4160,yes,CLOSED_TEMPORARILY
v0016,Bub's Bakery,18,ok,google_review_count|google_phone,ChIJK0OtSABZwokR-Bhujeconj8,2026-04-20,4.5,235,"bakery,food_store,store,food,point_of_interest,establishment",(646) 449-8814,yes,OPERATIONAL,ChIJK0OtSABZwokR-Bhujeconj8,2026-05-22,4.5,260,"bakery,food_store,food,point_of_interest,store,establishment",(862) 292-4445,yes,OPERATIONAL
v0017,Dudleys,19,ok,google_review_count,ChIJWQs914ZZwokRl55uI6owqC4,2026-04-20,4.4,1817,"restaurant,point_of_interest,food,establishment",(212) 925-7355,yes,OPERATIONAL,ChIJWQs914ZZwokRl55uI6owqC4,2026-05-22,4.4,1837,"restaurant,food,point_of_interest,establishment",(212) 925-7355,yes,OPERATIONAL
v0018,La Lanterna di Vittorio,20,ok,google_review_count|google_types,ChIJPxCEeZFZwokRzk5UghlXZWU,2026-04-20,4.5,2391,"italian_restaurant,wine_bar,garden,night_club,coffee_shop,live_music_venue",(917) 639-3236,yes,OPERATIONAL,ChIJPxCEeZFZwokRzk5UghlXZWU,2026-05-22,4.5,2414,"italian_restaurant,coffee_shop,cafe,garden,wine_bar,night_club,food_store,live_music_venue,event_venue,bar,store,restaurant,food,point_of_interest,establishment",(917) 639-3236,yes,OPERATIONAL
v0019,Mezzrow,21,ok,google_review_count|google_types,ChIJzYwpP5RZwokRk_zUBWseSBY,2026-04-20,4.6,1343,"cocktail_bar,live_music_venue,night_club,bar,event_venue,point_of_interest",(986) 273-5256,yes,OPERATIONAL,ChIJzYwpP5RZwokRk_zUBWseSBY,2026-05-22,4.6,1357,"cocktail_bar,night_club,live_music_venue,bar,event_venue,point_of_interest,establishment",(986) 273-5256,yes,OPERATIONAL
v0020,Outer Heaven,22,ok,google_review_count|google_types,ChIJYbxKJmlZwokRyaASxd_iOyw,2026-04-20,4,378,"night_club,cocktail_bar,bar,sports_club,association_or_organization,point_of_interest",,yes,OPERATIONAL,ChIJYbxKJmlZwokRyaASxd_iOyw,2026-05-22,4,382,"night_club,cocktail_bar,bar,sports_club,association_or_organization,point_of_interest,establishment",,yes,OPERATIONAL
v0021,Silence Please,23,ok,google_review_count,ChIJKedLcvFZwokRxKBOubB34lU,2026-04-20,4.5,133,"cafe,point_of_interest,food,establishment",,yes,OPERATIONAL,ChIJKedLcvFZwokRxKBOubB34lU,2026-05-22,4.5,143,"cafe,point_of_interest,food,establishment",,yes,OPERATIONAL
v0022,Soda Club,24,ok,google_review_count|google_types,ChIJzVWJIgVZwokRZzgRswAxIJY,2026-04-20,4.6,498,"restaurant,wine_bar,vegan_restaurant,vegetarian_restaurant,italian_restaurant,bar",(833) 328-4588,yes,OPERATIONAL,ChIJzVWJIgVZwokRZzgRswAxIJY,2026-05-22,4.6,507,"restaurant,wine_bar,vegan_restaurant,vegetarian_restaurant,bar,italian_restaurant,point_of_interest,food,establishment",(833) 328-4588,yes,OPERATIONAL
v0023,Spicy Moon West Village,25,ok,google_review_count|google_types,ChIJZRP3DW9ZwokR6NnJ9PaMZxI,2026-04-20,4.4,1412,"chinese_restaurant,vegan_restaurant,vegetarian_restaurant,restaurant,food,point_of_interest",(646) 590-1390,yes,OPERATIONAL,ChIJZRP3DW9ZwokR6NnJ9PaMZxI,2026-05-22,4.4,1422,"chinese_restaurant,vegan_restaurant,vegetarian_restaurant,restaurant,food,point_of_interest,establishment",(646) 590-1390,yes,OPERATIONAL
